title,views_on_vd,time_in_minutes
McCarthy weighs in on DeSantis’ feud with Disney,246000.0,2880
Hear son’s desperate plea to get parents out of Sudan,12000.0,2880
Nikki Haley: Biden 'likely' won't make it to end of second term,59000.0,2880
"Russia emptied out Crimea base, satellite imagery shows",897000.0,2880
"What the ""battlefield math"" reveals about Russian forces in Ukraine",544000.0,2880
Hear what Kim Kardashian says changed about Trump,89000.0,2880
Hear what Dr. Fauci says hampered US response to Covid-19 pandemic,96000.0,2880
See how Russian media depicts former Fox host Tucker Carlson,441000.0,2880
Here’s what happened on the first day of the rape allegation civil trial against Trump,809000.0,2880
See how Biden announced he's running for president again,72000.0,2880
Hear the basic tactics these men use to knock on doors safely in White neighborhoods,52000.0,2880
See how Fox announced Tucker Carlson's departure on air,843000.0,2880
GOP lawmaker explains why she's not ready to vote for McCarthy's debt limit bill,114000.0,2880
Why Tennessee lawmaker brought an infant-sized coffin to state capitol,130000.0,2880
Shot Over a Simple Mistake,12000.0,2880
CNN anchors tour Nazi death camp where their relatives died,230000.0,2880
Inside the wait for the Ukrainian counteroffensive against Russia,480000.0,2880
See ret. colonel's reaction to Russian jet dropping an explosive on a Russian city,879000.0,2880
'Be a real man': New Russian ad appears to mock men into joining Putin's military,153000.0,2880
CNN takes over 14-year-old’s TikTok account. See what we came across on ‘Restricted Mode’,78000.0,2880
Alec Baldwin’s attorney says ‘Rust’ shooting prosecutors to dismiss manslaughter charges,123000.0,2880
SpaceX Starship explodes on first launch attempt,298000.0,2880
See moment CNN team narrowly escapes missile strike in Ukraine,169000.0,2880
Wife of Kremlin critic speaks out after husband’s 25-year jail sentence,20000.0,2880
Report: World will have a new most populous country soon,151000.0,2880
CNN anchor worked at Fox for 16 years. Hear why she thinks Fox got out of Dominion lawsuit easy,1000000.0,2880
Can Ukraine retake land from Russia? Hear NATO chief's prediction,709000.0,2880
Aunt of teen shot after going to wrong house speaks out,45000.0,2880
Ukrainian child speaks out after returning home following alleged deportation by Russia,250000.0,2880
Grand jury declines to indict Akron police officers in killing of Jayland Walker,23000.0,2880
Fox News defamation trial delay sparks speculation of possible settlement,177000.0,2880
"He was released after decades in prison, now a court says he must go back",110000.0,2880
(Part 5) The Trek: A Migrant Trail to America | The Whole Story with Anderson Cooper,93000.0,2880
(Part 1) The Trek: A Migrant Trail to America | The Whole Story with Anderson Cooper,307000.0,2880
Zakaria asks Yellen if sanctions on Russia are actually working. Hear her response,306000.0,2880
'Brilliant' and 'disgusting': New Trump ad pokes fun at DeSantis' alleged eating habit,257000.0,2880
Inside NATO training for Russian attacks on its Eastern front,340000.0,2880
This is how authorities were able to identify the Pentagon leak suspect,56000.0,2880
Hear what Michael Cohen thinks about Trump's lawsuit against him,670000.0,2880
How Trump changed his legal strategy in deposition for NY civil fraud case,336000.0,2880
'The Super Mario Bros. Movie' succeeds where other video game flicks failed,21000.0,2880
Louder Than Guns,5200.0,2880
Governor calls for more focus on mental health in wake of mass shooting,34000.0,2880
Hear CNN's Jake Tapper press Florida lawmaker on gun control,106000.0,2880
Honig says Fox is 'headed for a full-blown journalistic and legal disaster',258000.0,2880
Taiwanese official: Military drills suggest China is getting ‘ready to launch a war against Taiwan’,1000000.0,2880
Louisville mayor reacts to bodycam footage of bank shooting,86000.0,2880
'I hear racist statements all the time': Lawmaker on Tennessee State House,187000.0,2880
Tennessee lawmaker heading back to House after GOP members expelled him,101000.0,2880
China wraps up three days of war games in Taiwan,73000.0,2880
‘We have to be worried’: Hear lawmaker’s concern over military doc leak,90000.0,2880
A day in the life of Ukraine's ambassador to the US,30000.0,2880
"Ukrainian boy speaks out after forcibly taken to Russia, humanitarian group says",136000.0,2880
DOJ to investigate leaks of apparent classified US military documents,375000.0,2880
Putin critic faces maximum prison sentence for charges,45000.0,2880
Ukraine soldiers are fighting Russia with decades old weapons and methods,275000.0,2880
UK intelligence: Russia has regained momentum in Bakhmut,362000.0,2880
Hear how Clarence Thomas responded to bombshell story,389000.0,2880
Veterans of Watergate era on Trump's legal challenges,112000.0,2880
Democratic Tennessee House member talks about his next step after being expelled,65000.0,2880
See the moment after Tennessee Democratic Rep. Justin Jones was expelled,206000.0,2880
CNN producer reacts to hilarious AI-generated photos of him,40000.0,2880
"NC Democrat switches parties, giving GOP veto-proof supermajority in state House",98000.0,2880
Go inside one of the most powerful warships in the world,890000.0,2880
Haberman reveals why Trump attacked judge and his family in speech,833000.0,2880
Fact-checking Trump’s speech after his arrest and arraignment,427000.0,2880
CNN reporter describes Trump's mood inside courtroom,121000.0,2880
Aerial video shows Trump arrive for arraignment,137000.0,2880
Close friend of arrested American reporter speaks to CNN,43000.0,2880
Sources: Chinese spy balloon was able to transmit information back to Beijing,82000.0,2880
Hear NYC mayor’s message to Marjorie Taylor Greene ahead of Trump arraignment,1200000.0,2880
Video shows moment of deadly explosion at Russian café,764000.0,2880
Ex-UN ambassador breaks down three reasons behind Russia’s move to detain US journalist,226000.0,2880
"Your Trump Indictment Questions, Answered",232000.0,2880
Hear Stormy Daniels' first comments since Trump indictment,496000.0,2880
Inside the security challenges behind Trump’s Tuesday arraignment,100000.0,2880
Hear Ivanka Trump’s reaction to her father’s indictment,1400000.0,4320
'He's ready to fight': Trump lawyer reacts to indictment,241000.0,4320
Stormy Daniels' attorney on her reaction to Trump indictment,152000.0,4320
'They are in something of shock': Haberman on how Trump advisers are reacting,926000.0,4320
"Trump cozies up to Putin, says Russia will take over Ukraine",371000.0,4320
How and when to use the opioid overdose antidote Narcan,12000.0,4320
Ex-officer who conducted active shooter drills at Nashville school speaks out,45000.0,4320
Russia is ‘getting hammered’: Top US general on Bakhmut battle,3100000.0,4320
'Shark Tank' star reacts to Senate hearing on bank failures,65000.0,4320
Video shows detainees locked behind gates as fire breaks out in detention center,49000.0,4320
Lawmaker challenged Biden on his AR-15 in 2020. See his response today when CNN rolled the tape,86000.0,4320
Judge rules that Pence must testify about Trump conversations,373000.0,4320
Inside a Lab Studying Toddlers and Touchscreens,23000.0,4320
Police offer details of what they know about the Nashville school shooter so far,60000.0,4320
'This is cause for concern': Rep. Lofgren reacts to Trump's latest rally rhetoric,234000.0,4320
Jon Stewart: GOP resorts to culture wars because they are out of ideas,1300000.0,4320
Jon Stewart: This is why Trump became popular in the first place,2800000.0,4320
See how Putin defended tactical nuclear weapons move,259000.0,4320
Drone footage shows 'utter devastation' after tornado slams Mississippi,252000.0,4320
Jason Sudeikis on 'SNL' and his Biden impression,64000.0,4320
See photos North Korea says are from nuclear-capable underwater drone test,342000.0,4320
"Judge orders Meadows, other top Trump aides must testify to Jan. 6 grand jury",673000.0,4320
Ukrainian nurses use an extraordinary trick on Russians to save children,146000.0,4320
Retired general: This is the decisive terrain to bring Putin to negotiating table,360000.0,4320
World Bank estimates how much it would cost to rebuild Ukraine,69000.0,4320
Watch lawmakers grill TikTok CEO over data concerns,323000.0,4320
Senator Mark Warner says he supports a TikTok ban. Here's why,23000.0,4320
See scene of deadly Russian missile strike in Zaporizhzhia,82000.0,4320
'I wasn't prepared for such levels of atrocity': Ukrainian Nobel prize laureate,39000.0,4320
Max Boot underscores 'one of the big divisions' in China-Russia alliance,231000.0,4320
GOP voters give brutal assessment of Mike Pence. Hear what they said,313000.0,4320
Ronan Farrow on his reporting behind the possible Trump indictment,396000.0,4320
The Prince and the Press,4700.0,4320
He was the assistant DA in Manhattan. Hear how likely he thinks a Trump arrest is,174000.0,4320
Trump ally Robert Costello testifies in Stormy Daniels hush money case,99000.0,4320
Hear what Chinese citizens think of Putin,595000.0,4320
Hear what Xi said to Putin during critical meeting,1600000.0,4320
Hear legal expert’s prediction for Putin after arrest warrant issued,206000.0,4320
