title,views_on_vd,time_in_minutes
‘Very powerful’: Former prosecutor weighs in on new testimony in Trump rape allegation case,535K,2880
"Why Russia fears a ""major breakthrough"" by Ukraine, according to UK intel",1.1M,2880
'The Godfather of AI' quits Google and warns of its dangers. Why Apple co-founder isn't concerned,1.6M,2880
Former attorney general says seriousness of this case against Trump is being underestimated,236K,2880
Hunter Biden was in an Arkansas court today. Here’s why,105K,2880
Reporter spent 3 hours pressing MyPillow CEO's lies. Hear the most significant takeaway,336K,2880
'We feel hate for our Russian neighbors': Town grapples with aftermath of strike,65K,2880
'Mickey Mouse got there first': Biden jokes about DeSantis in speech,349K,2880
Voters Don’t Want a Trump-Biden Rematch. They May Get One Anyway.,13K,2880
Thomas Friedman: 'This is code red',178K,2880
Never-before-seen images show inside White House on the day Osama bin Laden was killed,1.5M,2880
How new technology caused a 36% drop in use of force by officers in this CA police department,38K,2880
Russia launches deadly wave of strikes across Ukraine,103K,2880
CNN near front lines with soldiers as a Ukrainian counteroffensive looms,181K,2880
Griner gets emotional in first news conference since Russian prison release,28K,2880
Hear Arnold Schwarzenegger's prediction about Trump,5M,2880
Tucker Carlson breaks his silence after departure from Fox News,588K,2880
Hear what happened to Fox News’ ratings without Tucker Carlson,1M,2880
China’s Xi speaks with Zelensky for first time since Russia’s invasion of Ukraine,216K,2880
Chief Justice John Roberts will not testify before Congress about Supreme Court ethics,137K,2880
"NAACP sues Mississippi, says laws single out Black-majority city",44K,2880
Kim Kardashian cracks joke about retiring from life in the spotlight,27K,2880
Report: Russian deputy defense minister's ex-partner living lavish lifestyle in Europe,165K,2880
Russian foreign minister makes controversial UN appearance,162K,2880
Chinese ambassador sparks European outrage over comments,394K,2880
Hunter Biden’s lawyer pushes for probe of Trump aide,77K,2880
Why this retired Maj. Gen. thinks Sudan is ‘falling apart right in front of us’,519K,2880
This is why evacuating Americans from Sudan is so complicated,81K,2880
Who should clean up the mess your kids make in public places?,38K,2880
Transgender Montana lawmaker reacts to calls for censure,177K,2880
Russian forces ‘lack will’: Top US general’s assessment of the war in Ukraine,610K,2880
‘It was a killing field’: Survivor on military massacre of civilians in Myanmar,101K,2880
MyPillow CEO Mike Lindell ordered to pay $5 million for losing false election challenge,728K,2880
The AI vs. music industry battle is here,35K,2880
Clickbait Fashion Is Taking Over Your Feed,12K,2880
Tapper to Dominion CEO: Fox is 'lying to the American people',275K,2880
Hear what Pentagon leak revealed about China’s supersonic spy drone,904K,2880
Fox News still faces a $2.7 billion defamation threat,275K,2880
'Fox blinked': Anderson Cooper breaks down Fox News' $787.5M Dominion settlement,864K,2880
See pizza delivery guy take out suspect fleeing police,179K,2880
Detained WSJ journalist appears in Moscow court,38K,2880
Putin critic jailed for 25 years after publicly criticizing Ukraine war,94K,2880
GOP lawmakers are claiming record-breaking crime in Manhattan. Here's why they're wrong,113K,2880
‘Kind of gross’: John King reacts to Trump-aligned super PAC ad,64K,2880
Hear what Putin told China’s new defense minister,312K,2880
(Part 4) The Trek: A Migrant Trail to America | The Whole Story with Anderson Cooper,97K,2880
How retired Lt. General says Pentagon leak affects Russia’s intel,275K,2880
Tapper asks Republican governor if Trump is unelectable. Hear his answer,199K,2880
See why tourists flock from around the world to watch these famous ducks,27K,2880
